label_cluster_id,label_type,street_edge_id,osm_way_id,region_id,region_name,avg_image_capture_date,avg_label_date,median_severity,agree_count,disagree_count,unsure_count,cluster_size,users,avg_latitude,avg_longitude
21325,CurbRamp,51,35037897,7,UV 42,2025-03-01T00:00Z,2025-10-06T14:08:38.698Z,1,1,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.166126,-70.74548
21326,CurbRamp,12231,1022730791,7,UV 42,2025-05-01T00:00Z,2025-10-06T22:44:55.369Z,1,1,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.164967,-70.74522
21327,CurbRamp,8521,474024847,7,UV 42,2025-03-31T12:00Z,2025-10-10T13:29:58.289500Z,2,1,0,0,2,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.1687205,-70.743268
21328,CurbRamp,9651,563718720,7,UV 42,2025-05-01T00:00Z,2025-10-12T01:50:01.040Z,2,1,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.167698,-70.743
21329,CurbRamp,9654,563718720,7,UV 42,2025-03-31T12:00Z,2025-10-12T01:41:49.911Z,2,3,0,0,2,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.167477,-70.7444225
21330,CurbRamp,13004,1192522101,7,UV 42,2025-03-31T12:00Z,2025-10-11T22:46:29.464500Z,1,2,0,0,2,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.1685905,-70.744563
21331,CurbRamp,13007,1192522102,7,UV 42,2025-03-31T12:00Z,2025-10-10T13:42:02.854Z,2,1,0,0,2,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.168949,-70.741815
21332,CurbRamp,208,35073144,7,UV 42,2023-05-01T00:00Z,2025-10-13T01:41:53.686Z,2,1,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.169086,-70.740555
21333,CurbRamp,13007,1192522102,7,UV 42,2025-03-01T00:00Z,2025-10-13T01:43:10.074Z,3,1,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.169167,-70.74058
21334,CurbRamp,8544,474050112,7,UV 42,2025-03-01T00:00Z,2025-10-10T01:48:02.418Z,1,2,0,0,2,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.16784,-70.741585
21335,CurbRamp,208,35073144,7,UV 42,2025-03-01T00:00Z,2025-10-13T01:15:29.787Z,1,1,1,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.168095,-70.74033
21336,CurbRamp,9853,567197294,7,UV 42,2025-05-01T00:00Z,2025-10-09T01:25:25.777Z,1,1,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.16801,-70.74031
21337,CurbRamp,12486,1025610255,7,UV 42,2019-05-01T12:00Z,2025-10-12T10:37:16.416500Z,2,2,0,0,2,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.171194,-70.742275
